;tweetid;target;seen;stance;comet_intent;llm_intent;rational;text
167;11038;feminism;1;0;to be a leader the best successful learn;the intention of the tweet is to promote feminism and criticize discrimination against women, gays, and people from communities of color.;Battle Hymn of a Feminist Mom;Battle Hymn of a Feminist Mom: schoolwork doesn't always come first because things are often learned outside the classroom, an A- is a terrific grade, the kids are where they are in Math not 2 years ahead, activities only to win a medal? Pshaw! Failure is a necessary experience. (See Silicon Valley) But.... disrespect women, gays and people from communities of color?...then the warrior hammer comes down.
168;16369;self-sustaining nuclear reaction;1;0;to be in control a leader feel better healthy;the intention of the tweet is to highlight the impact of robert maynard hutchin's statement on the development of self-sustaining nuclear reaction.;Whenever I feel the urge to exercise, I lie down until it passes away;"I'm dismayed that no one here is echoing Robert Maynard Hutchin's sentiment: ""Whenever I feel the urge to exercise, I lie down until it passes away."" With those words, Hutchins did away with the University of Chicago's storied Big Ten football and gave the Stagg Field and the underground squash courts to physicist Enrico Fermi, who in turn soon created the world's first self-sustaining nuclear reaction there and the rest as they say is history. Had Hutchins not spoken those words, we might have been writing our comments in German or Japanese."
169;21402;safety law;1;2;to be a better person good enjoy the game sport have fun;the intention of the tweet is to criticize the safety law and suggest an alternative way to enjoy sports.;why not get rid of professional sports and everyone just smokes a joint to enjoy an explosion;"The professor writes: ""the ban is ruining the mood and spirit of the game. It's hard to enjoy any sports narrative if we don't know who is clean and who isn't."" why not get rid of professional sports and everyone just smokes a joint to enjoy an explosion of amateurism? In that way, our professor won't have his beautiful stories spoiled?"
170;15643;service;1;1;to be generous polite respectful fair nice;the intention of the tweet is to suggest adopting the japanese system of paying servers adequately without tips.;The best service I've ever had in restaurants, taxis, hotels, and bars has;The best service I've ever had in restaurants, taxis, hotels, and bars has been in Japan where offering a tip seems to almost be received as an insult. I think we should adopt the Japanese system and pay servers adequately without tips.
171;3720;pregnancy;1;1;to be a parent have child family baby children;the intention of the tweet towards target 'pregnancy' is to suggest that women should have their only or last child when they are no older than 32, as it can be a watershed moment for both mother and child when the mother turns 50 and her child is 18.;women should have their only or last child when they are no older than 32;Having had my kids when I was 35 and 37 and having spent the day of my 50th birthday enduring the full on meltdown of a thirteen year old I came to the conclusion that women should have their only or last child when they are no older than 32. That way when you turn 50 your only or youngest child will be 18 and it can be a watershed moment for both of you. I said this to my dentist once as she was saying that she wasn't quite ready to have a baby yet, and I told her that in the early years it doesn't matter in terms of your energy for running around the playground if you are 35 or 40, it's later on when it matters and I felt like after the appt she ran out of the room to run home and get pregnant. But truly, even if you can get pregnant later and have healthy babies, it is brutal dealing with teens when you are going through your own changes.
172;7217;palestinian land;1;1;to be in control power a leader charge;the intention of the tweet towards 'palestinian land' is to criticize and condemn the actions of the french, british, american, and soviet empires in denying the human rights of christian muslim arab palestinians in their natural homeland and forcibly disenfranchising them.;denial of the human rights of Christian Muslim Arab Palestinians in their natural homeland;Both the French and British Empires were present and in control and culpable for the original denial of the human rights of Christian Muslim Arab Palestinians in their natural homeland. These two empires were joined by the American Jim Crow Empire and the Soviet Union Empire to forcibly and without the consent of the people to disenfranchise a Holy Land of Palestine that was 65% Palestinian based upon European Christian nation state and faith crimes against Jewish humanity. When Abram of Ur, Sumer (modern Iraq) claimed that his god commanded him and his heirs to invade and occupy the land of others in his name killing, wounding and displacing the men, women and children then living there a dangerous inhuman inhumane precedent was set. There is no excuse for repeating that mistake with dueling scriptures and prophets in an age of science and reason and civilization.
173;16620;freedom;1;1;to express his opinion anger frustration feelings their;the intention of the tweet is to express support for freedom of belief and expression.;It is important that people have freedom to believe as they wish as long as they do not hurt;I do not understand why he was fired. He just burned a book and expressed his frustration with a belief that he finds abhorrant. What is immoral about that? It is important that people have freedom to believe as they wish as long as they do not hurt others. But it is also our right be able to criticize and express frustation with a belief that we may feel is an anathema to our values.
174;16986;birth;1;1;to be in control have a baby doctor help;the intention of the tweet is to criticize the quality of care provided by male doctors during childbirth.;Childbirth is difficult enough without unempathic male doctors;How large is the (significant) difference between outcomes for a baby born at home and one born in the hospital? And, is it due to the inclusion in this data of incompetent midwives? I have known several women who gave birth at home, and wished to do so myself, but couldn't because of complications. My experience of birthing in a hospital with a male resident was quite unpleasant. He touched me and examined me without asking my permission. He said my membranes had not broken and I was urinating. Every woman who has experienced membranes breaking knows the difference. A woman/midwife wouldn't have done/said these things this. Childbirth is difficult enough without unempathic male doctors.
175;8595;airline regulations;1;0;to save money money. make;critical of airline regulations.;deregulation resulted in much higher fares and much worse service when weather intervenes;I would agree that fares dropped between the big hubs, but for us who live in the hinterlands and have to drive 2 hours to an airport which is served by a grand total of 2 airlines, not so much. Airfares on the two airlines are always within 10 dollars of each other. The airfare for a 45 minute flight to the hub is about the same as any flight from that hub to any other destination so the end result is flying costs twice as much than if you flew from a hub. The end result is the hub and spoke system results in lower fares where there is competition and a virtual oligopoly at the end of each spoke. Granted, it is not a monopoly which would cause scrutiny, but the airlines collusion acts like one. Add to that, most of the flying public knows what happens with a weather related problem at a hub. The ripple effects throughout the system impact much more than just one hub. Sorry, deregulation resulted in much higher fares and much worse service when weather intervenes.
176;17290;teach;1;1;to be a good teacher get rid of people them save money.;the intention of the tweet towards target 'teach' is to criticize the education system and suggest cutting out school librarians, chalk and dry erase markers, and teaching reading in favor of digital text-to-voice technology.;why are we bothering with teaching reading when we can get digital text to voice anyway?;Is anyone else appalled that we are even debating cutting out school librarians? How about we cut out the chalk and dry erase markers and why are we bothering with teaching reading when we can get digital text to voice anyway? And have you even tried to read some of the crud these kids write? We obviously are not teaching writing so why should we screw up the budget by trying to start now. Isn't it enough the schools are keeping these hooligans off the street a few hours each day and keeping them from trying to get work cause if they did those unemployment figures would look even worse. Can't have that happen or the incumbents may not get re-elected and that is the top priority for both parties.
177;12623;experience in teaching;1;1;to be the best successful get better teach;the intention of the tweet is to emphasize the importance of experience in teaching and the effort required to gain competence and mastery.;After years of reflection, feedback, more reflection and refinement of techniques, I am proud of;To say that most teachers look back at their first years of teaching with regrets is an understatement. As a teacher for 22 years, I can attest to the effort it takes to gain competence and mastery. After years of reflection, feedback, more reflection and refinement of techniques, I am proud of the product given to my wonderful middle school math students. And many people would have said I was pretty good 22 years ago. Would you rather use an automobile mechanic who is untested or the tried and true pro?
178;18041;misleading schools' curriculum;1;1;teach children about science to the kids;the intention of the tweet is to criticize the curriculum of schools for being misleading.;Anyone who wants to free-lance education on my dime deserves to end up s;"I challenge a New Hampshire liberal who has a child with a well-developed sense of humor to object to all sorts of things in his or her school's curriculum. What every curriculum needs is more discussion of Thomas Jefferson's love life, for instance, or alternative theories of how Warren Harding met his maker (some say his wife had just had enough). Teaching children about atoms is misleading because atoms are made up of so many even smaller particles. Insist that kids be allowed to write and sing songs about leptons and quarks and draw pictures of neutrinos. Go nuts. Insist that children be taught that because Shakespeare and Cervantes died on the same day, they must have been the same person! Also, that when they read ""Uncle Tom's Cabin,"" they must refer to it as ""Uncle [the T word]'s Cabin,"" because some words are just too hurtful. This is just a starter list. I'm sure you can think of many more. Anyone who wants to free-lance education on my dime deserves to end up spluttering in red-faced rage. And that's all I have to say about that."
179;4859;employment;1;0;to get a job degree make money;the intention of the tweet is to criticize the impact of affirmative action on employment opportunities for college graduates.;44% of recent college graduates were employed in jobs that don't require college degrees;Last year, the Federal Reserve Bank of New York reported that 44% of recent college graduates were employed in jobs that don't require college degrees. And about 35% of older college graduates work in jobs that don't require college degrees. About 66 percent of two-year college graduates do the same sort of work as high school graduates or high school drop outs. They are in competition not just with illegal immigrants but the U.S.-born children of illegal immigrants, most of whom enjoy racial or ethnic affirmative action preference in college admissions and federal hiring.
180;8711;freedom of speech;1;1;to be free free. express his opinion protest;the intention of the tweet is to emphasize the protection of freedom of speech by the government, but also to note that employers may have different policies and consequences for such actions.;the government protects your freedom of speech;#10 has stated the facts. Any firm --even a quasi-government firm--- can release anyone for any reason at anytime except the reasons he has mentioned, Wake up, employees, the government protects your freedom of speech. You can't be arrested for burning the Koran, Bible, Torah, flag, effigies of anyone --as long as it's not considered to be a build up to a physical threat. HOWEVER, your employer may choose to fire you for any of these reasons although these activities are done outside of the work day. There is no recourse. Salam Al-Marayati would be well in his rights. Shariah law has nothing to do with this.
181;9615;regular;1;1;to eat at a restaurant get better deal service the best;the intention of the tweet towards target'regular' is to criticize the trade-off of cash for convenience and service, leading to loss of regular patrons.;cash is replacing regular patronage;Sounds like I'm not the only one who picked up on the obvious here, that cash is replacing regular patronage. Seems a dumb trade from the restaurateur's point of view. The few extra bucks he picks up from one-time diners is going to be drowned by all the money he loses from regular patrons, who can't get the convenience and service they want. They'll go elsewhere, and he'll never see those one-time trend-surfers ever again. Buh-bye, Empellon. As for myself, I think all this is deeply silly. If I can't get a table at a restaurant at a decent time without having to wait on line, I go somewhere else. Lots of people can cook. It's just not that rare a skill, especially in a city like New York.
182;9518;united states;1;0;to be in control independent independent. avoid conflict;the intention of the tweet towards the united states is to suggest that the alliance with israel is not in the us interest and that the us should pursue normal relations with other arab countries on their own merits.;Allying with Israel is not in the US interest;"edthefed is right. Shared values is not a sufficient reason to form an alliance. An alliance should also be mutually beneficial. Allying with Israel is not in the US interest. The problems that Israel helps the US with are mostly issues that are problems for the US only because we are allied with Israel. We should distance ourselves from both Israel and the Palestinians and pursue normal relations with other Arab countries like Tunisia and Oman on their own merits, not as part of a worldview that makes everything revolve around the Israeli-Palestinian conflict. That conflict is central to Israel, but not to the US. Or, rather, the only thing that makes that conflict important for the the US is the alliance with Israel; ending the alliance ends the issue as a central problem for the US."
183;9790;animal kingdom;1;2;to make a point prove his be chef;the intention of the tweet is to criticize the author's argument and suggest a different approach based on the author's expertise in food.;"Please don't base your argument on ""the logic of the animal kingdom"" when you clearly";"No offense, Brian Patton, but this is by far the worst argument I have ever read in the NYT. Since when did we start basing our knowledge of what animals have been ""designed"" to eat on comparisons with the grizzly bear? So because a fox can't take down a deer, it should secretly be an herbivore? And no, we don't look like grizzlies, but we do look a hell of a lot like chimps and other primates that will rip animals apart with their bare hands and ""digest the raw innards"" just fine. Please don't base your argument on ""the logic of the animal kingdom"" when you clearly have no concept of biology or evolution. You're a chef, so you presumably know a lot about food. Why not construct an argument around the food itself instead of a subject you don't seem to know anything about? Just a suggestion. Thanks. Hugs and kisses. P.S. How did this actually make it into print? NYT editors, I expected better."
184;18313;consumers;1;1;to keep their secrets be secretive. secretive avoid responsibility;the intention of the tweet towards target 'consumers' is to advocate for greater protection and transparency from corporations regarding the security of consumers' personal information.;Corporations always object to telling consumers the truth about anything from whether or not their food contains G;Companies are taking few steps to protect themselves from having sensitive consumer information hacked because they have no obligation to safe guard that information and no liability if it gets stolen and used to the consumers detriment. Corporations always object to telling consumers the truth about anything from whether or not their food contains GMO to whether their personal information has been stolen by a hackers. The reason for resting disclosure is almost always: the danger presented by the hacking or the GMO. Is overblown or doesn't exist. I guess the idea is what you don't know won't hurt you. Of course we all know what you don't know can hurt you very badly. Corporations should be required to notify consumers immediately if their information has been stolen and should be required to provide protection to those consumers from identity theft and compensation if it does that includes any losses and the cost of cleaning up the mess. Until that happens companies won't do anything about real security for consumers' information.
185;5892;vaccine side effects;1;0;to make a point be in control doctor scientist;the intention of the tweet is to criticize the focus on vaccine side effects and argue that the attention should be on the positive impact of vaccines.;No amount of money is worth inflicting that damage by force;I don't know how Kristen Feemster can sleep at night. No amount of money is worth inflicting that damage by force. They always want to focus on the one person in an iron lung from 1947. How about you focus the attention on the 154 people paralyzed by the polio vaccine in the last 35 years, while nobody unvaccinated got polio? The scientists are anti-science, and they believe in Nazi medical experiments.
186;13477;charter schools acceptance policies;1;0;to be a good parent get out of school education job;"the user expresses a critical view of charter schools in arizona, asserting they ""cherry pick"" students based on parent and child engagement.";cherry picking is exactly what's going on;There a debate about this? Of course charter schools are cherry picking. I live right in the middle of charter school and quasi-charter school heaven in Arizona, and cherry picking is exactly what's going on. If the parent's not engaged, the child doesn't get in in the first place. If the child's not engaged or disruptive, the child is O-U-T out, pronto.
187;17504;christians;1;1;to be inclusive respectful accepted kind;the intention of the tweet towards target 'christians' is to criticize and condemn them for not valuing and respecting the non-lgbt majority.;The LGBT minority must repent for not valuing and respecting the non-LGBT;The LGBT minority must repent for not valuing and respecting the non-LGBT majority. As far as we know all of the disciples were heterosexual married men. Jesus was not engaged in a gay pride parade during his 3 year ministry. And Jesus did not just come to suffer without knowing the joys of food, dancing, alcolhol and sex. And we do know that without the two biological human sexes contributing an XX and an XY that the human race would be doomed. Tolerance and equal treatment is the minimum expected for all human beings. The LBGT that were targeted in Orlando were predominantly black African American and brown Latino Hispanic American.
188;19725;affirmative action;1;2;to be in control a leader power charge;the user expresses concern about iran's perceived threat to the region, questioning their intentions regarding nuclear weapons and criticizing their religious dictatorship.;Iran is a threat. I do not believe, it even trusts itself;Yes, Iran is a threat. I do not believe, it even trusts itself. Why take so many years before doing what was asked of them? The nuclear question took too long to be answered. Why would Iran want nuclear weapons ? For whom? Defensive, offensive, that was the reason. It's a country with a religious dictatorship. Trouble for the region, and still, trouble for itself......
189;14221;iran;1;1;to be informed enlightened learn something understand;the intention of the tweet towards target 'iran' is to criticize the propaganda surrounding iran and to suggest that it is a joke to view iran as a significant threat.;its refreshing to read some sense on this subject rather than the usual demonizing fact s;its refreshing to read some sense on this subject rather than the usual demonizing fact swerving propaganda that makes people believe Iran somehow is their greatest pain or threat. which is a joke when you really stop to think about it
190;10253;immigrant;1;1;to make a point prove get raise money;the intention of the tweet towards 'immigrant' is to correct the misconception that low-wage immigrants drive down wage rates.;many studies indicate that low-wage immigration actually RAISES wage rates for native-born;The commenters claiming that low-wage immigrants drive down wage rates all have one thing in common: they cite no evidence. What Mr. Camarota and those commenters fail to mention is that, George Borjas' widely-criticized study notwithstanding, many studies indicate that low-wage immigration actually RAISES wage rates for native-born U.S. workers -- especially if we are considering real wage rates, which are enhanced by the lower costs we all pay for the services done by immigrants such as child care, construction, food service, etc. I know that conclusion seems counter-intuitive, but that is often the case in economics.
191;5176;educational institutions;1;0;to make money. be the best get a promotion money boss;the author expresses criticism towards profit-driven corporate culture that prioritizes quarterly earnings over employee well-being, resulting in poor performance and quality of work.;Easy commentary from an academician;Easy commentary from an academician. I'll wager Ms. Lechner doesn't work in such an environment. In fact I know she doesn't. When did we get to the point where grinding employees into the ground and out the other side is de rigueur? Well that's easily answered. We got there when quarterly profits became the be all and end all for existence. Yes, wouldn't it be scandalous if we went back to a world where people worked to live rather than lived to work? And here is the dirty little secret of all this supposed high performance: when was the last time you went to company and something actually worked the way it was supposed to work? Anybody? People are putting in massive hours and things run more poorly, are managed more poorly and produced more poorly than they ever have been. The formula clearly only works if you are at the top of the food chain raking in multi-million dollar bonuses. For the rest of us... pound sand.
192;8691;a tax break;1;0;to be a good parent get education better have;the intention of the tweet towards target 'a tax break' is to express frustration and dissatisfaction with the school district and the lack of justice for the child who was t-bagged and beaten, and to advocate for a tax break for private schooling.;a child was T-Bagged and beaten because he was white by;Our school district is terrrible, and the results even worse. Last year a child was T-Bagged and beaten because he was white by a group of black football players. No one was punished...b/c they were afraid of the moron parents. We send all 3 kids to private school at a considerable expense to ourselves yet the money we pay in taxes goes to the school we had to pull our kids from. Is that fair?
193;1355;reparations;1;0;to be honest honest. understood true;the intention of this tweet is to encourage self-reflection and personal responsibility, suggesting that current struggles are not necessarily caused by past injustices.;If an individual or a group is managing their affairs poorly, chances are, it has nothing;"If an individual or a group is managing their affairs poorly, chances are, it has nothing to do with the way their forebears were treated 150 years ago and beyond. I would suggest that they look in the mirror and recite a little Shakespeare: ""to thine own self be true""."
194;4315;colorado;1;1;to be a good citizen person get rid of something in control;the intention of the tweet towards target 'colorado' is to criticize the state's legalization of marijuana and suggest that it sets a dangerous precedent for other substances.;Is there any other substance whose legal status is dependent upon ALL users to be completely responsible;Is there any other substance whose legal status is dependent upon ALL users to be completely responsible upstanding citizens? Imagine if we debated outlawing soda because it was found that kids involved in school shootings consumed it. Fortunately, due to Bloomberg's attempts to just limit sizes, I know that the American Beverage Association would be there to remind us that it's not about protecting us from ourselves, but about our choices as Americans! It's not just alcohol that gets a different standard, it's literally everything that's not cannabis.
195;17762;higher education;1;1;to make a point be leader get job gain knowledge;criticizes the role of college sports in higher education.;The purpose of higher education is, in large part, teaching a young person how to approach;"Sounds like I need to go back and polish my early 60's hack speech class ""persuasive"" contribution - questioning the role of football on college campuses (school wasn't in any major sports conference) with half the football team in the class. It was interesting - at same time my sister was photographed at a ""Ban the Ball"" demo at the UofC campus. The purpose of higher education is, in large part, teaching a young person how to approach learning and apply that learning to life as it unfolds. Sports on an intramural level or low key interscholastic plane have a place - but not the spectacle of college sports serving as the training ground for professional teams. I always cringe when Americans justify marginal enterprises, products that really shouldn't exist, extreme sports, etc. with the usual ""but some people make a lot of money doing it"". Is that all there is???"
196;10468;illegal labor;1;0;to make a point be leader fair get ahead;criticizes the use of illegal labor in american agriculture, comparing it to the antebellum south's justification for slavery.;if he were he might realize how many of the arguments used to justify the need;"I find it hard to believe that Dr. Roberts is a Southerner; if he were he might realize how many of the arguments used to justify the need for illegal labor are so eerily similar to those that were used to justify our own peculiar institution 150  years ago. This does not make American agricultural interests any more evil than antebellum white Southerns were; just shortsighted and maybe a little mule-headed, like Southerners were and often still are. My advice to the American agriculture industry is to look down the road at how you will be viewed decades from now and get on the right side of history while you can."
197;5430;parent;1;1;to be healthy healthy. responsible eat;the intention of the tweet is to inform and persuade parents that a vegan diet can be healthy for their children, based on expert opinions and scientific evidence.;Our wonderful daughter is above-average in height and in the 95th percentile in head size;My wife and I are long-time vegans raising a healthy vegan child. Our wonderful daughter is above-average in height and in the 95th percentile in head size. She has hit virtually every developmental milestone at least a month ahead of average, and she has been regularly declared healthy and above average by our pediatrician, who has decades of experience with thousands of children and who has declared that he is comfortable with our vegan choice. We know at least a dozen other vegan children who are healthy and high-functioning. That's consistent with the findings of the American Dietetic Association, the nation's largest organization of nutrition scientists, which has issued a position paper written by experts who reviewed the existing peer-reviewed literature and found that well-planned vegan diets are healthful for infants and children. The considered opinion of such experts--and of our pediatrician--are what we rely on to make decisions about our child. We don't tend to factor in the opinions of cookbook writers.
198;3620;broad education;1;1;to help the poor be a leader people succeed others;the intention of the tweet is to support and promote broad education as a valuable tool for providing students with pride, stability, and a good living.;I'm all for broad education. I'm a product of it. As;"I'm all for broad education. I'm a product of it. As a teacher and professor I spent my professional life in it,. And in my college planning practice, I've guided most of my students towards it. But Mr. Hamed is exactly right when he says, ""If our goal is to lift students from poverty to high-paying programming jobs, this school's curriculum is admirable."" It may or may not produce the next Steve Jobs - we can argue about how geniuses arise some other time - but good vocational education lifts students who otherwise might flounder and founder into jobs that provide them with pride, stability and a good living. I wish more schools did as much."
199;9882;minimum wage;1;1;to get a raise be paid more fair make money;the intention of the tweet towards the target'minimum wage' is to argue that the federal minimum wage for all employees is $7.25 per hour and that tips are included in the minimum wage calculation. the tweet also argues that the tipped subminimum wage of $2.13 is unnecessary and that a fair minimum wage should be set.;Better to set a fair minimum wage and eliminate the subminimum wage;It's hard to take an argument seriously when it asserts outright falsehoods. The federal minimum wage for *all* employees is $7.25 per hour. Under no circumstance can any wait staff make less than this. Because tips are wages, tips are included in the minimum wage calculation. The $2.13 is the so-called tipped subminimum wage: extra cash employers have to pay even if your tips place your wages substantially higher than the minimum wage. I'm sympathetic and agree that service staff are often underpaid, and I agree that the minimum wage is too low. However, it's not that clear to me why a waiter who works at a swanky restaurant making $30 / hour in tips should be federally guaranteed an extra $2.13 per hour on top of their minimum wage. Better to set a fair minimum wage and eliminate the subminimum wage. (I think studies prove we'd be far better off putting an end to tipping altogether, but that's another story.)
200;10564;prostituion;1;0;to be a good person have life better time in control;the intention of the tweet towards target 'prostitution' is to argue that paying for sex is a civilized behavior and those who do not pay for sex are likely to engage in other harmful behaviors.;Anyone who thinks someone doesn't pay for sex has never been married. Period;Paying for something, anything, makes a person MORE civilized, not less. Men who rape, or short change, a prostitute are likely to do the same with their girlfriends and wives. There are only four ways a human being can procure anything in this world: Beg, borrow, steal, or, in a civilized society, pay for it. Anyone who thinks someone doesn't pay for sex has never been married. Period.
201;10270;minor violations;1;0;to be helpful help others people;the intention of the tweet towards target'minor violations' is to suggest a policy of fixing little things and not draconian punishment for little failures.;Broken windows should be a policy of fixing little things and not draconian punishment for;"Great article. Arrest should be devoted to people who need social resource. That may mean help, control, or both. It changes people for the better and build trust. People are happier when they know their enforcement of the law is building bridges in communities that may need help. Everyone deserves objective feedback, no one deserves to be abused. Broken windows should be a policy of fixing little things and not draconian punishment for little failures. Cleaning up graffiti, getting kids off the street, and reducing sensational adult advertisement in family communities; those are broken windows. Change can be accomplished mostly by better alternatives and more second chances (learning to do better)."
202;21678;intestate student;1;2;to make the cat happy keep cats busy occupied;the intention of the tweet is to provide advice on how to prevent cats from scratching on furniture.;Really, there's no reason to de-claw;My indoor cats love scratching stuff. Therefore we have scratching posts, cardboard scratching rectangles / circles / squares, next to every piece of furniture we care about. Cats almost never scratch on furniture as they prefer these things. Really, there's no reason to de-claw.
203;17903;tax;1;0;to avoid paying taxes be independent save money free;the intention of the tweet towards target 'tax' is to argue against the taxation of home-schooling families who do not benefit from public education.;Why should a family be saddled with the tax costs of paying for public school if;"""Why should a family be saddled with the tax costs of paying for public school if they receive no benefit?"" - From Ryan above. A well educated public is what leads our country to economic success, medical advancements, and a more evolved society. So perhaps if you home-school and wish to not pay taxes towards education, you should opt out of any benefit given to you that is created as a by-product of public education."
204;2930;prescription meds;1;0;to not be addicted get healthy healthy. safe;the intention of the tweet towards target 'prescription meds' is to challenge the perception that prescription meds are gateway drugs to more dangerous substances like heroin.;Marijuana is not addictive -- and is much less dangerous than alcohol. The gate-;Marijuana is not addictive -- and is much less dangerous than alcohol. The gate-way drugs are prescription meds found in medicine cabinets everywhere. Heroin is a lot less expensive than marijuana and if marijuana were legal, and less expensive, fewer people would want heroin.
205;12474;refugees;1;0;to make a point be heard. heard fair;the user intends to express their view on the perceived bias in times' coverage of migration issue, specifically the lack of representation for opposing viewpoints.;It has come to the point that the people with the most to loose and with all the rights;Excellent idea. However, I want to point out Times's blatant bias on this issue all year long, and for this 'room for debate' issue in particular. While the Times deemed it appropriate to ask a Muslim living in the UK to write on the issue (of course, pro migration) for the sake of journalistic integrity the Room for debate should have also hosted the point of view of a native European citizen from any country who opposes it. It has come to the point that the people with the most to loose and with all the rights, are pushed aside, their rights and opinions discarded.
206;21406;genetic disposition;1;2;to get a good deal better be fair helpful;the user expresses a desire for focused bank administration, clear regulations, and strategic lending to promote job growth and international benefits, while avoiding lending to certain corporations.;Mr. Brookings gives us plenty of opinion and little data;Mr. Brookings gives us plenty of opinion and little data. Both Mr. Fratto and Ms. Rugy give us numbers that aren't in conflict. It appears that if the administration of the bank could be focused, regulations clearly presented to try and concentrate the activities of the bank into growing industries and promoting jobs here through lending into specific international markets that produce clear benefits on both sides of the deal, and not lending money to Corporations like Pemex, and piling Federal money onto Major Oil. They already get too many breaks.
207;13999;political correctness;1;0;to be a leader in control power charge free;the intention of the tweet is to express opposition to political correctness and support for freedom of speech.;This is America, and we should not give in to political correctness to appease these fan;This is America, and we should not give in to political correctness to appease these fanatical Muslim thugs. If someone can burn the flag with impunity, show a crucifix dipped in urine, stage plays making fun on Catholics, deny the Holocaust, then he or she can burn a religious text. And the Muslims who seek to live in this country had better get used to it. Will the ACLU, that intrepid defender of left-wing and Muslim civil liberties, take up this case? I doubt it.
208;18022;wv self-regulation;1;0;to be a leader make money. money free;criticizes the lack of consequences for vw's self-regulation failure.;a lot of innocent people get hurt when self-regulation fails;The problem with this philosophy is that a lot of innocent people get hurt when self-regulation fails. People who own VWs may see declines in the value of their cars. Workers at VW may lose their jobs. The car dealers who sell VWs will experience declining sales. Stockholders may end up losing more than they ever gained from the fraud. Competitors who did not flout the rules have already suffered. There is also the possibility that VW as a corporation won't, in the end, have to pay for their behavior. Without the threat of punishment for failing to comply with regulations, what is the recourse for society? It's the air quality that affects everyone that was damaged.
209;19572;iran;1;2;to be a leader fair rich help others;the intention of this tweet is to express the view that government has a crucial role in society, and to argue for taxing passive income and capital gains to reduce wealth inequality and maintain a fair society.;Every once in a while capitalism and capitalists go awry. We are;In spite of Republican whining, everybody needs Government. Somebody has got to pay, and it has to be the people who benefit from society, because there are no other sources. Bank interest is double taxed, and capital gains are and should be taxed. Contrary to the arguments that I see here, passive income is the most lethal of all to our social structure because it compounds wealth into the hands of a few lucky winners (sometimes just lucky enough to cheat), and deprives society, as a whole, of any chance to maintain a fair playing field for future generations. Capitalism is an amazing, but flawed human invention. Every once in a while capitalism and capitalists go awry. We are living in one of those times. We just need to fix that, and everything will be fine...........including the deficit.
210;21248;israel;1;2;to make money money. have sex be free;the intention of this tweet is to advocate for the legalization of prostitution, emphasizing its inevitability and the benefits of regulation for worker safety and transparency.;Legal or illegal, prostitution will continue. This is evident around the world. Sex is;Legal or illegal, prostitution will continue. This is evident around the world. Sex is a basic inherent need and prostitution will not go away regardless of the criminal penalties. The only rational approach is to bring it above ground, gain transparency, and enforce safety regulations. These things happen only with legalized prostitution. New Zealand is today a great example of legalized prostitution where workers are well-treated and safe.
211;21688;mandatory child;1;2;to be a good person citizen have stable state peaceful;the user expresses skepticism about the viability of an independent palestinian state, raising questions about its potential stability and treatment of minorities.;What are the odds of it being undermined by fundamentalists? Just asking.;Does anyone really believe that an independent Palestinian state would remain peaceful or intact for very long? What are the odds of another meltdown in that state in a region that is in chaos at the moment? How would minorities be treated in such a state? What are the odds of it being undermined by fundamentalists? Just asking.
212;16389;a smart investment;1;1;to get a good grade be student education prepared for school make sure they learn;the intention of the tweet towards target 'a smart investment' is to highlight the importance of preschool education and the potential benefits of investing in private or montessori preschools.;preschool is a smart investment;I didn't go to preschool. But kindergarten back then was mostly play, milk and cookies. My son did go to preschool because we knew that kindergarten today is more like what first/second grade used to be. In many schools, if you aren't beginning to read by the time you start kindergarten, you will be behind. Comparing Head Start kids to kids who don't attend preschool may not yield a difference. Compare Montessori or private preschool kids to kids who don't attend preschool and you will absolutely see a difference. Big difference.
213;3838;companies;1;0;to be a good citizen leader person in control;the intention of the tweet towards target 'companies' is to criticize their incompetent or ineffective enforcement of laws and regulations.;Shame on VW for violating emission requirements, and shame of those who develop that testing standards;It is the role of government to create laws and regulations, and also to enforce them. I understand the VW situation was an example of incompetent policing or enforcement. The problem was not the standards did not allow unsafe air, it was incompetent or ineffective enforcement. I have heard that same is true with Guns laws, in Chicago, mainly that they are strict but not well enforced. We similarly have laws against illegal immigration that are not, in my opinion, faithfully executed. Part of the rule of law is not simply having laws and regulations, but effectively enforcing them. Shame on VW for violating emission requirements, and shame of those who develop that testing standards for not catching this. Why don't they do more extensive emission tests separate from individual car inspections so this type of thing does not get missed.
214;10077;legalizing prostitution;1;1;to be in control make a point money. money;the author opposes legalizing prostitution, arguing that it does not address the root cause of abuse and that it is not a solution to the problem.;I see no valid argument that legalizing prostitution would prevent prior abuse of women and children;"""Numerous studies show that between 70 percent and 90 percent of children and women who end up in commercial sex were sexually abused prior to entry."" The author seems to imply that if there were no sex workers, all of these people would not have suffered abuse. The problem of abuse came before the activity of prostitution. Abuse leads to prostitution, not the other way around. Banning prostitution will do nothing to prevent abuse, and abuse is the real problem, not commercial sex. I see no valid argument that legalizing prostitution would prevent prior abuse of women and children. It could be bettered argued that if there were legal outlets for sexual urges, cases of abuse would decline."
